crime_id;year;month;day;weekday;hour;aisp;city;neighborhood;nature;victim_age;gender;ethnicity;sexual_orientation;victim_id
20211223540;2021;11;29;Segunda;19;20ª AISP – Londrina;LONDRINA;ERNANI;Morte por Intervenção Legal de Agente do Estado NÃO INFORMADO MILAE;20;M;BRANCA;;20134
20211223540;2021;11;29;Segunda;19;20ª AISP – Londrina;LONDRINA;ERNANI;Morte por Intervenção Legal de Agente do Estado NÃO INFORMADO MILAE;25;M;BRANCA;;20133
20211223540;2021;11;29;Segunda;19;20ª AISP – Londrina;LONDRINA;ERNANI;Morte por Intervenção Legal de Agente do Estado NÃO INFORMADO MILAE;25;M;PRETA;;20132
20211223821;2021;11;29;Segunda;20;3ª AISP – Paranaguá;PARANAGUA;JARDIM ESPERANCA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);20;M;;;5505
20211223667;2021;11;29;Segunda;20;20ª AISP – Londrina;CAMBE;SANTA ADELAIDE;Morte por Intervenção Legal de Agente do Estado NÃO INFORMADO MILAE;22;M;BRANCA;;20131
20211223771;2021;11;29;Segunda;21;3ª AISP – Paranaguá;PARANAGUA;DOM PEDRO SEGUNDO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);37;F;AMARELA;;5504
20211223855;2021;11;29;Segunda;21;3ª AISP – Paranaguá;PARANAGUA;EMBOGUACU;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);29;M;PARDA;;5506
20211224192;2021;11;29;Segunda;21;20ª AISP – Londrina;LONDRINA;FRATERNIDADE;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);28;M;PARDA;;5508
20211223896;2021;11;29;Segunda;22;1ª AISP - Curitiba;CURITIBA;PINHEIRINHO;Morte por Intervenção Legal de Agente do Estado NÃO INFORMADO MILAE;41;M;BRANCA;;20469
20211223799;2021;11;29;Segunda;22;4ª AISP - Ponta Grossa;FERNANDES PINHEIRO;AREA RURAL;Praticar Homicídio Culposo na Direção de Veículo;44;F;BRANCA;;15844
20211223954;2021;11;30;Terça;4;1ª AISP - Curitiba;CURITIBA;SITIO CERCADO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);24;M;PARDA;HETEROSSEXUAL;5507
20211224307;2021;11;30;Terça;5;2ª AISP – São José dos Pinhais;COLOMBO;GUARAITUBA;Praticar Homicídio Culposo na Direção de Veículo;27;M;AMARELA;;15846
20211227331;2021;11;30;Terça;9;20ª AISP – Londrina;CAMBE;KM 91 MAIS 700M;Praticar Homicídio Culposo na Direção de Veículo;54;M;BRANCA;;15847
20211227122;2021;11;30;Terça;12;3ª AISP – Paranaguá;PARANAGUA;PORTO DOS PADRES;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);35;M;PARDA;;5510
20211228903;2021;11;30;Terça;12;21ª AISP - Cornélio Procópio;CORNELIO PROCOPIO;ZONA RURAL;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);;M;;;5512
20211231035;2021;11;30;Terça;13;2ª AISP – São José dos Pinhais;SAO JOSE DOS PINHAIS;ITALIA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);44;M;BRANCA;;5514
20211228636;2021;11;30;Terça;21;3ª AISP – Paranaguá;MATINHOS;BAL ALBATROZ;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);19;M;BRANCA;;5511
20211228558;2021;11;30;Terça;22;2ª AISP – São José dos Pinhais;CAMPO MAGRO;NOVA ESPERANCA;Morte por Intervenção Legal de Agente do Estado NÃO INFORMADO MILAE;25;M;PARDA;;20381
20211229134;2021;12;1;Quarta;6;20ª AISP – Londrina;CAMBE;SAO FRANCISCO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);33;M;BRANCA;;5513
20211231166;2021;12;1;Quarta;14;4ª AISP - Ponta Grossa;CASTRO;CENTRO;Morte por Intervenção Legal de Agente do Estado NÃO INFORMADO MILAE;20;M;PARDA;;20254
20211232529;2021;12;1;Quarta;17;3ª AISP – Paranaguá;PARANAGUA;CRUZEIRO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);32;M;;;5515
20211233265;2021;12;1;Quarta;18;2ª AISP – São José dos Pinhais;PIRAQUARA;GUARITUBA;Feminicídio;34;F;;;12087
20211233265;2021;12;1;Quarta;18;2ª AISP – São José dos Pinhais;PIRAQUARA;GUARITUBA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);34;F;;;5517
20211233307;2021;12;1;Quarta;19;2ª AISP – São José dos Pinhais;TIJUCAS DO SUL;XAXIM;Praticar Homicídio Culposo na Direção de Veículo;44;M;BRANCA;;15849
20211232719;2021;12;1;Quarta;20;15ª AISP – Umuarama;XAMBRE;CENTRO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);22;M;;;5516
20211233644;2021;12;2;Quinta;4;16ª AISP – Paranavaí;GUAIRACA;VILA SANTA INES;Praticar Homicídio Culposo na Direção de Veículo;58;M;;HETEROSSEXUAL;15850
20211235948;2021;12;2;Quinta;10;1ª AISP - Curitiba;CURITIBA;SITIO CERCADO;Morte por Intervenção Legal de Agente do Estado NÃO INFORMADO MILAE;23;M;PARDA;;20471
20211234612;2021;12;2;Quinta;11;17ª AISP – Maringá;MARINGA;VILA NOVA;Praticar Homicídio Culposo na Direção de Veículo;45;M;PARDA;;15851
20211236484;2021;12;2;Quinta;17;20ª AISP – Londrina;LONDRINA;TUCANOS;Morte por Intervenção Legal de Agente do Estado NÃO INFORMADO MILAE;36;M;PARDA;;20135
20211236600;2021;12;2;Quinta;18;1ª AISP - Curitiba;CURITIBA;BAIRRO ALTO;Morte por Intervenção Legal de Agente do Estado NÃO INFORMADO MILAE;15;M;BRANCA;;20470
20211236941;2021;12;2;Quinta;22;12ª AISP - Foz do Iguaçu;FOZ DO IGUACU;KLP;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);42;M;BRANCA;;5518
20211237031;2021;12;3;Sexta;0;1ª AISP - Curitiba;CURITIBA;CIDADE INDUSTRIAL;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);26;F;PARDA;HETEROSSEXUAL;5519
20211240447;2021;12;3;Sexta;0;19ª AISP – Rolandia;ROLANDIA;TOMIE NAGATANI;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);23;M;;;5521
20211237043;2021;12;3;Sexta;3;16ª AISP – Paranavaí;PARANAVAI;FRANCISCO DE ASSIS;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);16;M;BRANCA;;5520
20211240895;2021;12;3;Sexta;17;5ª AISP - São Mateus do Sul;RIO NEGRO;TIJUCO PRETO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);18;M;BRANCA;HETEROSSEXUAL;5522
20211241136;2021;12;3;Sexta;19;17ª AISP – Maringá;SARANDI;JOSE RICHA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);23;M;;;5523
20211241158;2021;12;3;Sexta;20;13ª AISP – Toledo;MARECHAL CANDIDO RONDON;BOTAFOGO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);46;M;BRANCA;HETEROSSEXUAL;5524
20211241525;2021;12;3;Sexta;21;2ª AISP – São José dos Pinhais;ITAPERUCU;JARDIM ITAU;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);66;M;PARDA;;5525
20211248057;2021;12;3;Sexta;21;17ª AISP – Maringá;MARINGA;RURAL DE IGUATEMI;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);32;M;;;5552
20211247260;2021;12;4;Sábado;1;2ª AISP – São José dos Pinhais;CAMPO LARGO;SALGADINHO;Praticar Homicídio Culposo na Direção de Veículo;53;M;BRANCA;;15856
20211242019;2021;12;4;Sábado;2;17ª AISP – Maringá;MARINGA;JARDIM ACLIMACAO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);18;M;PARDA;;5526
20211242515;2021;12;4;Sábado;7;16ª AISP – Paranavaí;QUERENCIA DO NORTE;CENTRO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);15;M;BRANCA;;5527
20211247745;2021;12;4;Sábado;11;4ª AISP - Ponta Grossa;PONTA GROSSA;CENTRO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);26;M;PARDA;;5550
20211243232;2021;12;4;Sábado;12;2ª AISP – São José dos Pinhais;ALMIRANTE TAMANDARE;JARDIM IPANEMA;Praticar Homicídio Culposo na Direção de Veículo;30;M;BRANCA;;15853
20211242785;2021;12;4;Sábado;14;19ª AISP – Rolandia;ROLANDIA;TEREZOPOLIS;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);67;M;BRANCA;;5528
20211243264;2021;12;4;Sábado;16;2ª AISP – São José dos Pinhais;COLOMBO;MAUA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);21;M;;;5529
