year;month;day;weekday;hour;city;neighborhood;nature;victim_age;gender;ethnicity;sexual_orientation
2023;3;24;SEXTA;17;FRANCISCO BELTRAO;PADRE ULRICO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);28;M;;
2023;4;2;DOMINGO;9;SALTO DO LONTRA;CENTRO;Praticar Homicídio Culposo na Direção de Veículo;65;M;PARDA;
2023;4;2;DOMINGO;11;FRANCISCO BELTRAO;CRISTO REI;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);92;M;BRANCA;
2023;4;10;SEGUNDA;20;DOIS VIZINHOS;CONCORDIA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);43;F;PARDA;
2023;4;11;TERCA;15;SANTA IZABEL DO OESTE;ZONA RURAL;Praticar Homicídio Culposo na Direção de Veículo;39;M;;
2023;4;11;TERCA;15;SANTA IZABEL DO OESTE;ZONA RURAL;Praticar Homicídio Culposo na Direção de Veículo;61;M;;
2023;4;14;SEXTA;7;AMPERE;RODOVIA;Praticar Homicídio Culposo na Direção de Veículo;54;M;;OUTRO
2023;4;14;SEXTA;7;FRANCISCO BELTRAO;SADIA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);29;M;BRANCA;
2023;4;16;DOMINGO;12;FRANCISCO BELTRAO;PINHEIRAO;Praticar Homicídio Culposo na Direção de Veículo;62;M;BRANCA;
2023;4;25;TERCA;11;DOIS VIZINHOS;RODOVIA ESTADUAL ZONA RURAL;Praticar Homicídio Culposo na Direção de Veículo;47;M;BRANCA;
2023;4;27;QUINTA;12;DOIS VIZINHOS;SAGRADA FAMILIA;Praticar Homicídio Culposo na Direção de Veículo;30;M;BRANCA;
2023;4;29;SABADO;14;FRANCISCO BELTRAO;AGUA BRANCA;Praticar Homicídio Culposo na Direção de Veículo;0;M;BRANCA;
2023;4;29;SABADO;14;FRANCISCO BELTRAO;AGUA BRANCA;Praticar Homicídio Culposo na Direção de Veículo;39;;;
2023;4;29;SABADO;14;PLANALTO;SAO VALERIO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);68;M;BRANCA;HETEROSSEXUAL
2023;5;1;SEGUNDA;3;DOIS VIZINHOS;ZONA RURAL;Praticar Homicídio Culposo na Direção de Veículo;34;M;BRANCA;
2023;5;3;QUARTA;16;FRANCISCO BELTRAO;AGUA BRANCA;Praticar Homicídio Culposo na Direção de Veículo;66;M;PARDA;
2023;5;5;SEXTA;7;CAPANEMA;AREA RURAL;Praticar Homicídio Culposo na Direção de Veículo;67;M;BRANCA;
2023;5;5;SEXTA;15;FRANCISCO BELTRAO;CENTRO;Praticar Homicídio Culposo na Direção de Veículo;20;M;;
2023;5;8;SEGUNDA;15;AMPERE;CENTRO;Praticar Homicídio Culposo na Direção de Veículo;48;F;;
2023;5;8;SEGUNDA;17;FRANCISCO BELTRAO;NOVO MUNDO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);37;M;PARDA;
2023;5;9;TERCA;20;FRANCISCO BELTRAO;PINHEIRINHO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);62;M;PARDA;
2023;5;18;QUINTA;12;CRUZEIRO DO IGUACU;ZONA RURAL;Praticar Homicídio Culposo na Direção de Veículo;20;M;BRANCA;
2023;5;20;SABADO;0;FRANCISCO BELTRAO;PINHEIRAO;Praticar Homicídio Culposo na Direção de Veículo;25;M;BRANCA;
2023;5;25;QUINTA;12;VERE;SEDE PROGRESSO;Praticar Homicídio Culposo na Direção de Veículo;51;M;PARDA;
2023;5;26;SEXTA;13;SALTO DO LONTRA;SAO CRISTOVAO;Praticar Homicídio Culposo na Direção de Veículo;55;M;PARDA;
2023;5;26;SEXTA;19;CAPANEMA;SAO JOSE OPERARIO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);35;M;PARDA;
2023;5;27;SABADO;6;FRANCISCO BELTRAO;SAO MIGUEL;Praticar Homicídio Culposo na Direção de Veículo;24;M;;
2023;5;27;SABADO;18;FRANCISCO BELTRAO;ALVORADA;Praticar Homicídio Culposo na Direção de Veículo;59;M;;
2023;6;1;QUINTA;9;FRANCISCO BELTRAO;CENTRO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);23;M;;
2023;6;1;QUINTA;14;FRANCISCO BELTRAO;MINIGUACU;Praticar Homicídio Culposo na Direção de Veículo;47;M;;
2023;6;15;QUINTA;19;FRANCISCO BELTRAO;PADRE ULRICO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);22;M;;
2023;7;2;DOMINGO;0;FRANCISCO BELTRAO;ZONA RURAL;Praticar Homicídio Culposo na Direção de Veículo;53;M;;
2023;7;5;QUARTA;5;FRANCISCO BELTRAO;LINHA BOA VISTA;Praticar Homicídio Culposo na Direção de Veículo;39;M;;
2023;7;7;SEXTA;11;AMPERE;ZONA RURAL;Praticar Homicídio Culposo na Direção de Veículo;55;M;;
2023;7;9;DOMINGO;4;FRANCISCO BELTRAO;BARRA BONITA;Praticar Homicídio Culposo na Direção de Veículo;35;M;PARDA;
2023;7;9;DOMINGO;4;FRANCISCO BELTRAO;BARRA BONITA;Praticar Homicídio Culposo na Direção de Veículo;39;M;PARDA;
2023;7;17;SEGUNDA;17;AMPERE;RURAL;Praticar Homicídio Culposo na Direção de Veículo;24;M;PARDA;
2023;7;18;TERCA;14;DOIS VIZINHOS;ZONA RURAL;Praticar Homicídio Culposo na Direção de Veículo;7;F;;
2023;7;22;SABADO;5;DOIS VIZINHOS;CENTRO NORTE;Praticar Homicídio Culposo na Direção de Veículo;42;M;BRANCA;
2023;7;26;QUARTA;11;FRANCISCO BELTRAO;PINHEIRINHO;Praticar Homicídio Culposo na Direção de Veículo;28;M;;
2023;7;28;SEXTA;21;CRUZEIRO DO IGUACU;ZONA RURAL;Praticar Homicídio Culposo na Direção de Veículo;33;M;BRANCA;
2023;7;30;DOMINGO;19;DOIS VIZINHOS;ZONA RURAL;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);44;M;BRANCA;
2023;8;5;SABADO;2;FRANCISCO BELTRAO;MARRECAS;Praticar Homicídio Culposo na Direção de Veículo;40;M;PARDA;
2023;8;5;SABADO;15;FRANCISCO BELTRAO;ZONA RURAL;Praticar Homicídio Culposo na Direção de Veículo;38;M;;
2023;8;6;DOMINGO;22;PLANALTO;PLANALTO RURAL;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);45;M;BRANCA;HETEROSSEXUAL
2023;8;7;SEGUNDA;7;NOVA ESPERANCA DO SUDOESTE;CENTRO;Praticar Homicídio Culposo na Direção de Veículo;58;M;BRANCA;HETEROSSEXUAL
