year;month;day;weekday;hour;city;neighborhood;nature;victim_age;gender;ethnicity
2023;3;26;DOMINGO;6;ALMIRANTE TAMANDARE;SAO JORGE;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);50;M;BRANCA
2023;4;13;QUINTA;7;ALMIRANTE TAMANDARE;MARMELEIRO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);39;M;
2023;4;20;QUINTA;6;ALMIRANTE TAMANDARE;BAIRRO MONTE SANTO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);43;M;PARDA
2023;4;26;QUARTA;14;ALMIRANTE TAMANDARE;TRANQUEIRA;Morte por Intervenção Legal de Agente do Estado NÃO INFORMADO MILAE;55;M;BRANCA
2023;4;30;DOMINGO;21;ALMIRANTE TAMANDARE;BONFIM;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);19;M;BRANCA
2023;5;3;QUARTA;9;ALMIRANTE TAMANDARE;COLONIA SAO VENANCIO;Praticar Homicídio Culposo na Direção de Veículo;48;F;PARDA
2023;5;6;SABADO;0;ALMIRANTE TAMANDARE;LAMENHA GRANDE;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);34;M;PARDA
2023;5;8;SEGUNDA;8;ALMIRANTE TAMANDARE;AREIAS;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);25;M;BRANCA
2023;5;20;SABADO;18;ALMIRANTE TAMANDARE;MATO DENTRO;Praticar Homicídio Culposo na Direção de Veículo;21;M;BRANCA
2023;6;9;SEXTA;19;ALMIRANTE TAMANDARE;CACHOEIRA;Praticar Homicídio Culposo na Direção de Veículo;38;M;BRANCA
2023;6;11;DOMINGO;21;ALMIRANTE TAMANDARE;BONFIM;Praticar Homicídio Culposo na Direção de Veículo;78;M;BRANCA
2023;6;16;SEXTA;22;ALMIRANTE TAMANDARE;JARDIM PARAISO;Praticar Homicídio Culposo na Direção de Veículo;22;M;BRANCA
2023;6;22;QUINTA;19;ALMIRANTE TAMANDARE;CACHOEIRA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);27;M;BRANCA
2023;7;2;DOMINGO;1;ALMIRANTE TAMANDARE;CACHOEIRA;Praticar Homicídio Culposo na Direção de Veículo;23;M;BRANCA
2023;7;4;TERCA;22;ALMIRANTE TAMANDARE;SAO FELIPE;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);63;M;BRANCA
2023;7;9;DOMINGO;21;ALMIRANTE TAMANDARE;BONFIM;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);24;M;
2023;7;9;DOMINGO;21;ALMIRANTE TAMANDARE;BONFIM;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);27;M;
2023;7;15;SABADO;20;ALMIRANTE TAMANDARE;LAMENHA GRANDE;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);59;M;PRETA
2023;8;20;DOMINGO;19;ALMIRANTE TAMANDARE;BONFIM;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);29;M;PARDA
2023;9;17;DOMINGO;14;ALMIRANTE TAMANDARE;CENTRO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);22;F;BRANCA
2023;9;17;DOMINGO;14;ALMIRANTE TAMANDARE;CENTRO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);24;M;PARDA
2023;9;26;TERCA;21;ALMIRANTE TAMANDARE;BAIRRO MONTE SANTO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);26;M;PARDA
2023;9;26;TERCA;21;ALMIRANTE TAMANDARE;SAO JORGE;Roubo com Resultado Morte;77;M;BRANCA
2023;9;27;QUARTA;5;ALMIRANTE TAMANDARE;CENTRO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);34;M;BRANCA
2023;10;8;DOMINGO;21;ALMIRANTE TAMANDARE;BONFIM;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);44;M;
